art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,461415,2012,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,14818542,2012,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,116113,2012,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,5239085,2012,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,18971262,2012,103,Personal- und Organisationsmanagement
Aufwand,1,Innere Verwaltung,87153100,2012,103,Personal- und Organisationsmanagement
Ertrag,1,Innere Verwaltung,6217248,2012,104,IT- und Kommunikationsdienste
Aufwand,1,Innere Verwaltung,32567823,2012,104,IT- und Kommunikationsdienste
Ertrag,1,Innere Verwaltung,0,2012,105,Organisationsmanagement
Aufwand,1,Innere Verwaltung,0,2012,105,Organisationsmanagement
Ertrag,1,Innere Verwaltung,4663913,2012,106,Zentrale Dienstleistungen
Aufwand,1,Innere Verwaltung,45017968,2012,106,Zentrale Dienstleistungen
Ertrag,1,Innere Verwaltung,4117695,2012,107,Rechts- und Versicherungsangelegenheiten
Aufwand,1,Innere Verwaltung,12087333,2012,107,Rechts- und Versicherungsangelegenheiten
Ertrag,1,Innere Verwaltung,103540056,2012,108,Zentrale Liegenschaftsangelegenheiten
Aufwand,1,Innere Verwaltung,33736199,2012,108,Zentrale Liegenschaftsangelegenheiten
Ertrag,1,Innere Verwaltung,13437480,2012,109,Kasse und Veranlagung gemeindl. Abgaben
Aufwand,1,Innere Verwaltung,22348595,2012,109,Kasse und Veranlagung gemeindl. Abgaben
Ertrag,1,Innere Verwaltung,1301018,2012,110,"Controlling, Finanzsteuerung, Rechungswesen"
Aufwand,1,Innere Verwaltung,9042839,2012,110,"Controlling, Finanzsteuerung, Rechungswesen"
Ertrag,1,Innere Verwaltung,1574005,2012,111,Sonstige Innere Verwaltung
Aufwand,1,Innere Verwaltung,24937723,2012,111,Sonstige Innere Verwaltung
Ertrag,2,Sicherheit und Ordnung,8951637,2012,201,Allgemeine Sicherheit und Ordnung
Aufwand,2,Sicherheit und Ordnung,16104283,2012,201,Allgemeine Sicherheit und Ordnung
Ertrag,2,Sicherheit und Ordnung,2351593,2012,202,Gewerbewesen
Aufwand,2,Sicherheit und Ordnung,4213381,2012,202,Gewerbewesen
Ertrag,2,Sicherheit und Ordnung,4622286,2012,203,Märkte
Aufwand,2,Sicherheit und Ordnung,6903693,2012,203,Märkte
