art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,215561,2013,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,16201892,2013,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,121700,2013,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6256091,2013,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,18437165,2013,103,Personal- und Organisationsmanagement
Aufwand,1,Innere Verwaltung,133467497,2013,103,Personal- und Organisationsmanagement
Ertrag,1,Innere Verwaltung,5799876,2013,104,IT- und Kommunikationsdienste
Aufwand,1,Innere Verwaltung,40738244,2013,104,IT- und Kommunikationsdienste
Ertrag,1,Innere Verwaltung,0,2013,105,Organisationsmanagement
Aufwand,1,Innere Verwaltung,0,2013,105,Organisationsmanagement
Ertrag,1,Innere Verwaltung,5023710,2013,106,Zentrale Dienstleistungen
Aufwand,1,Innere Verwaltung,47737128,2013,106,Zentrale Dienstleistungen
Ertrag,1,Innere Verwaltung,4282270,2013,107,Rechts- und Versicherungsangelegenheiten
Aufwand,1,Innere Verwaltung,11543428,2013,107,Rechts- und Versicherungsangelegenheiten
Ertrag,1,Innere Verwaltung,66984483,2013,108,Zentrale Liegenschaftsangelegenheiten
Aufwand,1,Innere Verwaltung,28370228,2013,108,Zentrale Liegenschaftsangelegenheiten
Ertrag,1,Innere Verwaltung,8630000,2013,109,Kasse und Veranlagung gemeindl. Abgaben
Aufwand,1,Innere Verwaltung,25614530,2013,109,Kasse und Veranlagung gemeindl. Abgaben
Ertrag,1,Innere Verwaltung,1166874,2013,110,"Controlling, Finanzsteuerung, Rechungswesen"
Aufwand,1,Innere Verwaltung,12384063,2013,110,"Controlling, Finanzsteuerung, Rechungswesen"
Ertrag,1,Innere Verwaltung,1979875,2013,111,Sonstige Innere Verwaltung
Aufwand,1,Innere Verwaltung,34942389,2013,111,Sonstige Innere Verwaltung
Ertrag,2,Sicherheit und Ordnung,8605557,2013,201,Allgemeine Sicherheit und Ordnung
Aufwand,2,Sicherheit und Ordnung,17354872,2013,201,Allgemeine Sicherheit und Ordnung
Ertrag,2,Sicherheit und Ordnung,2987066,2013,202,Gewerbewesen
Aufwand,2,Sicherheit und Ordnung,2884780,2013,202,Gewerbewesen
Ertrag,2,Sicherheit und Ordnung,4496600,2013,203,Märkte
Aufwand,2,Sicherheit und Ordnung,4185337,2013,203,Märkte
Ertrag,2,Sicherheit und Ordnung,12289544,2013,204,Verkehrs- u. Kfz.-Wesen
Aufwand,2,Sicherheit und Ordnung,10191985,2013,204,Verkehrs- u. Kfz.-Wesen
Ertrag,2,Sicherheit und Ordnung,31550268,2013,205,Verkehrsüberwachung
Aufwand,2,Sicherheit und Ordnung,22350446,2013,205,Verkehrsüberwachung
Ertrag,2,Sicherheit und Ordnung,1058839,2013,206,Verbraucherschutz und Veterinäraufsicht
Aufwand,2,Sicherheit und Ordnung,6678739,2013,206,Verbraucherschutz und Veterinäraufsicht
Ertrag,2,Sicherheit und Ordnung,7985110,2013,207,Einwohnerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,14289763,2013,207,Einwohnerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,1976878,2013,208,Personenstandswesen
Aufwand,2,Sicherheit und Ordnung,4708982,2013,208,Personenstandswesen
Ertrag,2,Sicherheit und Ordnung,6807423,2013,209,Ausländerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,18258550,2013,209,Ausländerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,2500,2013,210,Statistik und Informationsmanagement
Aufwand,2,Sicherheit und Ordnung,2469970,2013,210,Statistik und Informationsmanagement
Ertrag,2,Sicherheit und Ordnung,705000,2013,211,Wahlen
Aufwand,2,Sicherheit und Ordnung,3908767,2013,211,Wahlen
Ertrag,2,Sicherheit und Ordnung,42527313,2013,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Aufwand,2,Sicherheit und Ordnung,120460289,2013,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Ertrag,2,Sicherheit und Ordnung,0,2013,213,Einwohner- und Bürgerbefragungen
Aufwand,2,Sicherheit und Ordnung,50000,2013,213,Einwohner- und Bürgerbefragungen
Ertrag,3,Schulträgeraufgaben,88023497,2013,301,Schulträgeraufgaben
Aufwand,3,Schulträgeraufgaben,375336416,2013,301,Schulträgeraufgaben
Ertrag,4,Kultur und Wissenschaft,250954,2013,401,Museumsreferat
Aufwand,4,Kultur und Wissenschaft,8321155,2013,401,Museumsreferat
Ertrag,4,Kultur und Wissenschaft,3452296,2013,402,Museum Ludwig
Aufwand,4,Kultur und Wissenschaft,11521692,2013,402,Museum Ludwig
Ertrag,4,Kultur und Wissenschaft,568507,2013,403,Römisch-Germanisches Museum
Aufwand,4,Kultur und Wissenschaft,2801121,2013,403,Römisch-Germanisches Museum
Ertrag,4,Kultur und Wissenschaft,1463503,2013,404,Rautenstrauch-Joest-Museum
Aufwand,4,Kultur und Wissenschaft,6569966,2013,404,Rautenstrauch-Joest-Museum
Ertrag,4,Kultur und Wissenschaft,312605,2013,405,Museum für Angewandte Kunst
Aufwand,4,Kultur und Wissenschaft,2471659,2013,405,Museum für Angewandte Kunst
Ertrag,4,Kultur und Wissenschaft,605401,2013,406,Museum für Ostasiatische Kunst
Aufwand,4,Kultur und Wissenschaft,1982811,2013,406,Museum für Ostasiatische Kunst
Ertrag,4,Kultur und Wissenschaft,262180,2013,407,Museum Schnütgen
Aufwand,4,Kultur und Wissenschaft,1595463,2013,407,Museum Schnütgen
Ertrag,4,Kultur und Wissenschaft,304155,2013,408,Kölnisches Stadtmuseum
Aufwand,4,Kultur und Wissenschaft,2010845,2013,408,Kölnisches Stadtmuseum
Ertrag,4,Kultur und Wissenschaft,221424,2013,409,Kunst- und Museumsbibliothek / Rheinisches Bildarchiv
Aufwand,4,Kultur und Wissenschaft,2368981,2013,409,Kunst- und Museumsbibliothek / Rheinisches Bildarchiv
Ertrag,4,Kultur und Wissenschaft,117629,2013,410,NS-Dokumentationszentrum
Aufwand,4,Kultur und Wissenschaft,1950316,2013,410,NS-Dokumentationszentrum
Ertrag,4,Kultur und Wissenschaft,548334,2013,411,Museumsdienst
Aufwand,4,Kultur und Wissenschaft,1437909,2013,411,Museumsdienst
Ertrag,4,Kultur und Wissenschaft,211000,2013,412,Historisches Archiv
Aufwand,4,Kultur und Wissenschaft,6247239,2013,412,Historisches Archiv
Ertrag,4,Kultur und Wissenschaft,95800,2013,413,Archäologische Zone und Jüdisches Museum
Aufwand,4,Kultur und Wissenschaft,1296698,2013,413,Archäologische Zone und Jüdisches Museum
Ertrag,4,Kultur und Wissenschaft,10348706,2013,414,Volkshochschule
Aufwand,4,Kultur und Wissenschaft,16812008,2013,414,Volkshochschule
Ertrag,4,Kultur und Wissenschaft,3320844,2013,415,Rheinische Musikschule
Aufwand,4,Kultur und Wissenschaft,6860816,2013,415,Rheinische Musikschule
Ertrag,4,Kultur und Wissenschaft,1074145,2013,416,Kulturförderung
Aufwand,4,Kultur und Wissenschaft,91859438,2013,416,Kulturförderung
Ertrag,4,Kultur und Wissenschaft,1179872,2013,417,Puppenspiele
Aufwand,4,Kultur und Wissenschaft,2160121,2013,417,Puppenspiele
Ertrag,4,Kultur und Wissenschaft,1940935,2013,418,Stadtbibliothek
Aufwand,4,Kultur und Wissenschaft,13611120,2013,418,Stadtbibliothek
Ertrag,5,Soziale Hilfen,112073013,2013,501,Leistungen nach dem  SGB XII
Aufwand,5,Soziale Hilfen,315336796,2013,501,Leistungen nach dem  SGB XII
Ertrag,5,Soziale Hilfen,116667004,2013,502,Kommunale Leistungen nach dem SGB II
Aufwand,5,Soziale Hilfen,352974420,2013,502,Kommunale Leistungen nach dem SGB II
Ertrag,5,Soziale Hilfen,16534764,2013,503,Weitere soziale Pflichtleistungen
Aufwand,5,Soziale Hilfen,46587448,2013,503,Weitere soziale Pflichtleistungen
Ertrag,5,Soziale Hilfen,75400,2013,504,Freiwillige Sozialleistungen und interkulturelle Hilfen
Aufwand,5,Soziale Hilfen,8765563,2013,504,Freiwillige Sozialleistungen und interkulturelle Hilfen
Ertrag,5,Soziale Hilfen,2700833,2013,505,Leistungen n. d. Schwerbehindertenrecht - SGB IX
Aufwand,5,Soziale Hilfen,3998529,2013,505,Leistungen n. d. Schwerbehindertenrecht - SGB IX
Ertrag,5,Soziale Hilfen,0,2013,506,Leistungen nach dem Lastenausgleichsgesetz
Aufwand,5,Soziale Hilfen,0,2013,506,Leistungen nach dem Lastenausgleichsgesetz
Ertrag,5,Soziale Hilfen,2112622,2013,507,"Betrieb, Unterhaltung u. Förderung von Bürgerhäusern u. -zentren"
Aufwand,5,Soziale Hilfen,9663080,2013,507,"Betrieb, Unterhaltung u. Förderung von Bürgerhäusern u. -zentren"
Ertrag,5,Soziale Hilfen,21024524,2013,508,Leistungen für Bildung und Teilhabe
Aufwand,5,Soziale Hilfen,21627048,2013,508,Leistungen für Bildung und Teilhabe
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",16385438,2013,601,Kinder- und jugendpädagogische Einrichtung
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",20066000,2013,601,Kinder- und jugendpädagogische Einrichtung
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",575270,2013,602,Leistungen nach dem Bundeselterngeld- und Elternzeitgesetz
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",909522,2013,602,Leistungen nach dem Bundeselterngeld- und Elternzeitgesetz
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",202386034,2013,603,Kindertagesbetreuung
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",382637916,2013,603,Kindertagesbetreuung
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",10757993,2013,604,Kinder- und Jugendarbeit
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",37660262,2013,604,Kinder- und Jugendarbeit
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",328500,2013,605,familienbezogene Beratung und Behandlung
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",4269324,2013,605,familienbezogene Beratung und Behandlung
Ertrag,6,"Kinder-, Jugend- und Familienhilfe",17853073,2013,606,Hilfe für junge Menschen und ihre Familien
Aufwand,6,"Kinder-, Jugend- und Familienhilfe",210388998,2013,606,Hilfe für junge Menschen und ihre Familien
Ertrag,7,Gesundheitsdienste,4583678,2013,701,Gesundheitsdienste
Aufwand,7,Gesundheitsdienste,34984337,2013,701,Gesundheitsdienste
Ertrag,8,Sportförderung,3306244,2013,801,Sportförderung/Unterhaltung von Sportstätten
Aufwand,8,Sportförderung,30525113,2013,801,Sportförderung/Unterhaltung von Sportstätten
Ertrag,9,"Räumliche Planung und Entwicklung, Geoinformationen",70800,2013,901,Stadtplanung
Aufwand,9,"Räumliche Planung und Entwicklung, Geoinformationen",8310414,2013,901,Stadtplanung
Ertrag,9,"Räumliche Planung und Entwicklung, Geoinformationen",8370343,2013,902,Stadtentwicklung
Aufwand,9,"Räumliche Planung und Entwicklung, Geoinformationen",16987939,2013,902,Stadtentwicklung
Ertrag,9,"Räumliche Planung und Entwicklung, Geoinformationen",2533827,2013,903,"Grundstücksbezogene Basisinformationen, Grundstücksordnung und Wertermittlung"
Aufwand,9,"Räumliche Planung und Entwicklung, Geoinformationen",17503353,2013,903,"Grundstücksbezogene Basisinformationen, Grundstücksordnung und Wertermittlung"
Ertrag,10,Bauen und Wohnen,12543900,2013,1001,"Baugenehmigungen, Bauordnungsbehördliche Maßnahmen"
Aufwand,10,Bauen und Wohnen,12859875,2013,1001,"Baugenehmigungen, Bauordnungsbehördliche Maßnahmen"
Ertrag,10,Bauen und Wohnen,757300,2013,1002,Denkmalpflege
Aufwand,10,Bauen und Wohnen,4725562,2013,1002,Denkmalpflege
Ertrag,10,Bauen und Wohnen,15121694,2013,1003,"Wohnraumförderung, Wohnungserhaltung u. -pflege, Hilfen für Wohnungssuchende"
