art_label,produktbereich_name,produktbereich_label,amount,time_year,produktgruppe_name,produktgruppe_label
Ertrag,1,Innere Verwaltung,53901,2017,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Aufwand,1,Innere Verwaltung,17950440,2017,101,"Politische Gremien, Verwaltungsführung und internationale Angelegenheiten"
Ertrag,1,Innere Verwaltung,2669832,2017,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Aufwand,1,Innere Verwaltung,6408071,2017,102,"Haushalts-, betriebswirtschaftliche und technische Prüfungen, Sonderprüfungen"
Ertrag,1,Innere Verwaltung,41179686,2017,103,Personal- und Organisationsmanagement
Aufwand,1,Innere Verwaltung,148111205,2017,103,Personal- und Organisationsmanagement
Ertrag,1,Innere Verwaltung,5742344,2017,104,IT- und Kommunikationsdienste
Aufwand,1,Innere Verwaltung,42339950,2017,104,IT- und Kommunikationsdienste
Ertrag,1,Innere Verwaltung,0,2017,105,Organisationsmanagement
Aufwand,1,Innere Verwaltung,0,2017,105,Organisationsmanagement
Ertrag,1,Innere Verwaltung,4616511,2017,106,Zentrale Dienstleistungen
Aufwand,1,Innere Verwaltung,53071383,2017,106,Zentrale Dienstleistungen
Ertrag,1,Innere Verwaltung,4162413,2017,107,Rechts- und Versicherungsangelegenheiten
Aufwand,1,Innere Verwaltung,11629038,2017,107,Rechts- und Versicherungsangelegenheiten
Ertrag,1,Innere Verwaltung,83496472,2017,108,Zentrale Liegenschaftsangelegenheiten
Aufwand,1,Innere Verwaltung,24751643,2017,108,Zentrale Liegenschaftsangelegenheiten
Ertrag,1,Innere Verwaltung,8304898,2017,109,Kasse und Veranlagung gemeindl. Abgaben
Aufwand,1,Innere Verwaltung,29025887,2017,109,Kasse und Veranlagung gemeindl. Abgaben
Ertrag,1,Innere Verwaltung,170174,2017,110,"Controlling, Finanzsteuerung, Rechungswesen"
Aufwand,1,Innere Verwaltung,12708680,2017,110,"Controlling, Finanzsteuerung, Rechungswesen"
Ertrag,1,Innere Verwaltung,1445667,2017,111,Sonstige Innere Verwaltung
Aufwand,1,Innere Verwaltung,30184997,2017,111,Sonstige Innere Verwaltung
Ertrag,2,Sicherheit und Ordnung,3819872,2017,201,Allgemeine Sicherheit und Ordnung
Aufwand,2,Sicherheit und Ordnung,18362914,2017,201,Allgemeine Sicherheit und Ordnung
Ertrag,2,Sicherheit und Ordnung,2172504,2017,202,Gewerbewesen
Aufwand,2,Sicherheit und Ordnung,3145019,2017,202,Gewerbewesen
Ertrag,2,Sicherheit und Ordnung,4609086,2017,203,Märkte
Aufwand,2,Sicherheit und Ordnung,4598085,2017,203,Märkte
Ertrag,2,Sicherheit und Ordnung,14032315,2017,204,Verkehrs- u. Kfz.-Wesen
Aufwand,2,Sicherheit und Ordnung,10636557,2017,204,Verkehrs- u. Kfz.-Wesen
Ertrag,2,Sicherheit und Ordnung,41894731,2017,205,Verkehrsüberwachung
Aufwand,2,Sicherheit und Ordnung,28399189,2017,205,Verkehrsüberwachung
Ertrag,2,Sicherheit und Ordnung,77200,2017,206,Verbraucherschutz und Veterinäraufsicht
Aufwand,2,Sicherheit und Ordnung,6863100,2017,206,Verbraucherschutz und Veterinäraufsicht
Ertrag,2,Sicherheit und Ordnung,6482865,2017,207,Einwohnerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,13067564,2017,207,Einwohnerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,2011313,2017,208,Personenstandswesen
Aufwand,2,Sicherheit und Ordnung,4862316,2017,208,Personenstandswesen
Ertrag,2,Sicherheit und Ordnung,6511953,2017,209,Ausländerangelegenheiten
Aufwand,2,Sicherheit und Ordnung,20026651,2017,209,Ausländerangelegenheiten
Ertrag,2,Sicherheit und Ordnung,100,2017,210,Statistik und Informationsmanagement
Aufwand,2,Sicherheit und Ordnung,1895832,2017,210,Statistik und Informationsmanagement
Ertrag,2,Sicherheit und Ordnung,1410000,2017,211,Wahlen
Aufwand,2,Sicherheit und Ordnung,6066795,2017,211,Wahlen
Ertrag,2,Sicherheit und Ordnung,48458598,2017,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
Aufwand,2,Sicherheit und Ordnung,138706991,2017,212,"Brand- u. Bevölkerungsschutz, Rettungsdienst"
